gene	gene_symbol	composite_score	feature_importance	feature_importance_rank	delta_connectivity	dcea_rank	cancer_relevance	composite_rank	has_dcea_data
ENSG00000159388.6|BTG2	BTG2	1662.333557	0.002804	35	1659.529393	49	non_cancer	1	True
ENSG00000148218.16|ALAD	ALAD	1522.408912	0.001362	48	1521.046816	50	non_cancer	2	True
ENSG00000012660.14|ELOVL5	ELOVL5	1392.601217	0.000000	97	1392.601217	51	non_cancer	3	True
ENSG00000148339.12|SLC25A25	SLC25A25	1388.627752	0.000729	56	1387.898727	52	non_cancer	4	True
ENSG00000119689.15|DLST	DLST	1384.018855	0.000685	58	1383.334114	53	non_cancer	5	True
ENSG00000167074.15|TEF	TEF	1309.076341	0.034184	10	1274.892264	1	cancer	6	True
ENSG00000163820.15|FYCO1	FYCO1	1265.979576	0.001208	50	1264.771468	54	non_cancer	7	True
ENSG00000119138.4|KLF9	KLF9	1256.821746	0.019556	16	1237.266077	58	non_cancer	8	True
ENSG00000084754.12|HADHA	HADHA	1254.250269	0.015751	17	1238.499157	57	non_cancer	9	True
ENSG00000166272.18|WBP1L	WBP1L	1249.027682	0.000518	59	1248.509838	55	non_cancer	10	True
ENSG00000082641.16|NFE2L1	NFE2L1	1239.497630	0.000021	87	1239.476952	56	non_cancer	11	True
ENSG00000078053.17|AMPH	AMPH	1222.222775	0.000416	63	1221.807038	2	breast_cancer	12	True
ENSG00000143878.10|RHOB	RHOB	1195.935361	0.000022	85	1195.913338	3	breast_cancer	13	True
ENSG00000108788.12|MLX	MLX	1174.976649	0.000957	54	1174.020015	59	non_cancer	14	True
ENSG00000181852.18|RNF41	RNF41	1170.346879	0.000032	83	1170.315028	60	non_cancer	15	True
ENSG00000174233.11|ADCY6	ADCY6	1134.378681	0.000000	95	1134.378681	61	non_cancer	16	True
ENSG00000007237.19|GAS7	GAS7	1125.058066	0.006841	23	1118.216584	62	non_cancer	17	True
ENSG00000163072.16|NOSTRIN	NOSTRIN	1115.387385	0.039697	8	1075.689891	64	non_cancer	18	True
ENSG00000139970.17|RTN1	RTN1	1104.985663	0.005150	29	1099.835927	4	cancer	19	True
ENSG00000169926.11|KLF13	KLF13	1085.027122	0.000167	74	1084.860537	63	non_cancer	20	True
ENSG00000162520.15|SYNC	SYNC	1073.211549	0.000000	93	1073.211549	65	non_cancer	21	True
ENSG00000121671.12|CRY2	CRY2	1068.717333	0.021274	14	1047.442954	66	non_cancer	22	True
ENSG00000180660.8|MAB21L1	MAB21L1	1066.905863	0.206544	1	860.361807	93	non_cancer	23	True
ENSG00000148848.14|ADAM12	ADAM12	1034.620452	0.001882	43	1032.738224	67	non_cancer	24	True
ENSG00000162614.19|NEXN	NEXN	1013.605879	0.039770	6	973.835591	75	non_cancer	25	True
ENSG00000164237.9|CMBL	CMBL	1009.673516	0.000081	79	1009.592055	68	non_cancer	26	True
ENSG00000164442.10|CITED2	CITED2	1007.435818	0.004633	31	1002.802809	71	non_cancer	27	True
ENSG00000143149.12|ALDH9A1	ALDH9A1	1006.252932	0.000012	92	1006.240803	69	non_cancer	28	True
ENSG00000048471.14|SNX29	SNX29	1005.499039	0.001615	45	1003.883935	70	non_cancer	29	True
ENSG00000124942.14|AHNAK	AHNAK	998.392862	0.026390	11	972.003082	5	cancer	30	True
ENSG00000168385.18|SEPTIN2	SEPTIN2	992.343351	0.000017	88	992.326801	72	non_cancer	31	True
ENSG00000107372.13|ZFAND5	ZFAND5	992.008475	0.000384	66	991.624168	73	non_cancer	32	True
ENSG00000112320.12|SOBP	SOBP	981.399256	0.065309	4	916.090129	83	non_cancer	33	True
ENSG00000167178.16|ISLR2	ISLR2	979.670158	0.005150	30	974.520526	74	non_cancer	34	True
ENSG00000166619.15|BLCAP	BLCAP	974.399595	0.008696	20	965.703262	76	non_cancer	35	True
ENSG00000134201.12|GSTM5	GSTM5	973.506684	0.079179	3	894.328039	86	non_cancer	36	True
ENSG00000198752.11|CDC42BPB	CDC42BPB	962.983543	0.000049	81	962.934424	77	non_cancer	37	True
ENSG00000140284.11|SLC27A2	SLC27A2	959.193364	0.001623	44	957.569890	78	non_cancer	38	True
ENSG00000143252.16|SDHC	SDHC	954.987274	0.000915	55	954.071802	79	non_cancer	39	True
ENSG00000144711.16|IQSEC1	IQSEC1	950.254226	0.001090	51	949.164657	80	non_cancer	40	True
ENSG00000100100.13|PIK3IP1	PIK3IP1	944.234510	0.004071	32	940.163065	81	non_cancer	41	True
ENSG00000108861.9|DUSP3	DUSP3	943.237759	0.000000	100	943.237759	6	breast_cancer	42	True
ENSG00000108799.13|EZH1	EZH1	931.349979	0.024726	12	906.623801	85	non_cancer	43	True
ENSG00000137274.13|BPHL	BPHL	927.921978	0.000021	86	927.900909	82	non_cancer	44	True
ENSG00000173692.14|PSMD1	PSMD1	911.343979	0.002474	37	908.870093	84	non_cancer	45	True
ENSG00000020181.18|ADGRA2	ADGRA2	895.931499	0.006217	27	889.714148	88	non_cancer	46	True
ENSG00000178761.15|FAM219B	FAM219B	892.762404	0.000250	70	892.512250	87	non_cancer	47	True
ENSG00000175183.10|CSRP2	CSRP2	881.155555	0.006299	26	874.856331	91	non_cancer	48	True
ENSG00000116237.16|ICMT	ICMT	879.839962	0.001926	41	877.913702	89	non_cancer	49	True
ENSG00000165678.21|GHITM	GHITM	877.115034	0.000109	78	877.006237	90	non_cancer	50	True
ENSG00000126351.13|THRA	THRA	868.022467	0.006835	24	861.187816	7	breast_cancer	51	True
ENSG00000122783.17|CYREN	CYREN	866.724856	0.001072	53	865.652901	92	non_cancer	52	True
ENSG00000006007.12|GDE1	GDE1	853.260001	0.000163	75	853.096605	94	non_cancer	53	True
ENSG00000132002.9|DNAJB1	DNAJB1	846.594813	0.001890	42	844.704781	95	non_cancer	54	True
ENSG00000149577.16|SIDT2	SIDT2	841.783741	0.008434	21	833.349843	97	non_cancer	55	True
ENSG00000131373.15|HACL1	HACL1	838.831927	0.000372	68	838.459880	96	non_cancer	56	True
ENSG00000163812.15|ZDHHC3	ZDHHC3	827.302448	0.001364	47	825.938792	98	non_cancer	57	True
ENSG00000088367.23|EPB41L1	EPB41L1	825.950001	0.000387	65	825.563300	99	non_cancer	58	True
ENSG00000197594.13|ENPP1	ENPP1	812.731978	0.002017	39	810.714744	100	non_cancer	59	True
ENSG00000204103.4|MAFB	MAFB	804.785345	0.000181	73	804.604040	101	non_cancer	60	True
ENSG00000168542.16|COL3A1	COL3A1	804.460305	0.094362	2	710.098561	126	non_cancer	61	True
ENSG00000100439.10|ABHD4	ABHD4	797.339751	0.000000	96	797.339751	102	non_cancer	62	True
ENSG00000182575.8|NXPH3	NXPH3	795.323310	0.000375	67	794.948351	103	non_cancer	63	True
ENSG00000165801.10|ARHGEF40	ARHGEF40	795.129204	0.039726	7	755.403067	113	non_cancer	64	True
ENSG00000131831.18|RAI2	RAI2	790.593265	0.020435	15	770.158661	107	non_cancer	65	True
ENSG00000198732.11|SMOC1	SMOC1	789.662025	0.005809	28	783.853227	104	non_cancer	66	True
ENSG00000144655.15|CSRNP1	CSRNP1	787.052456	0.006432	25	780.620385	9	cancer	67	True
ENSG00000091136.15|LAMB1	LAMB1	781.693697	0.000291	69	781.403114	8	cancer	68	True
ENSG00000110955.9|ATP5F1B	ATP5F1B	780.072599	0.000709	57	779.363420	105	non_cancer	69	True
ENSG00000181031.16|RPH3AL	RPH3AL	778.742682	0.000420	62	778.322192	10	cancer	70	True
ENSG00000133026.13|MYH10	MYH10	776.446766	0.000056	80	776.390894	106	non_cancer	71	True
ENSG00000145147.20|SLIT2	SLIT2	775.109174	0.057421	5	717.688131	122	non_cancer	72	True
ENSG00000101098.13|RIMS4	RIMS4	770.795950	0.008433	22	762.362548	108	non_cancer	73	True
ENSG00000114019.15|AMOTL2	AMOTL2	767.171624	0.021515	13	745.656890	115	non_cancer	74	True
ENSG00000170522.10|ELOVL6	ELOVL6	761.546780	0.000000	98	761.546780	109	non_cancer	75	True
ENSG00000109919.10|MTCH2	MTCH2	760.636995	0.002834	34	757.803084	111	non_cancer	76	True
ENSG00000205795.4|CYS1	CYS1	759.960138	0.000016	90	759.943828	110	non_cancer	77	True
ENSG00000166780.11|BMERB1	BMERB1	758.683459	0.001247	49	757.436502	112	non_cancer	78	True
ENSG00000099968.18|BCL2L13	BCL2L13	756.716472	0.000000	94	756.716472	11	cancer	79	True
ENSG00000071242.12|RPS6KA2	RPS6KA2	755.280510	0.010835	19	744.445936	116	non_cancer	80	True
ENSG00000106772.18|PRUNE2	PRUNE2	753.216399	0.014293	18	738.923643	13	cancer	81	True
ENSG00000166340.17|TPP1	TPP1	751.506911	0.000454	60	751.053164	114	non_cancer	82	True
ENSG00000116171.19|SCP2	SCP2	744.992357	0.001089	52	743.902933	117	non_cancer	83	True
ENSG00000114054.14|PCCB	PCCB	743.719304	0.000429	61	743.290651	118	non_cancer	84	True
ENSG00000112562.19|SMOC2	SMOC2	742.346263	0.002742	36	739.604236	12	cancer	85	True
ENSG00000187678.10|SPRY4	SPRY4	737.031875	0.000000	99	737.031875	14	cancer	86	True
ENSG00000159307.19|SCUBE1	SCUBE1	736.718195	0.000142	77	736.575931	119	non_cancer	87	True
ENSG00000064309.14|CDON	CDON	735.680741	0.000144	76	735.537108	15	cancer	88	True
ENSG00000239998.6|LILRA2	LILRA2	730.204614	0.000016	91	730.188953	120	non_cancer	89	True
ENSG00000065060.17|UHRF1BP1	UHRF1BP1	726.792401	0.000198	72	726.594884	121	non_cancer	90	True
ENSG00000120738.8|EGR1	EGR1	725.624484	0.036822	9	688.802633	17	cancer	91	True
ENSG00000076716.9|GPC4	GPC4	717.818824	0.001972	40	715.846814	123	non_cancer	92	True
ENSG00000177076.6|ACER2	ACER2	715.804074	0.000016	89	715.787699	124	non_cancer	93	True
ENSG00000114948.13|ADAM23	ADAM23	713.291676	0.000412	64	712.879349	16	cancer	94	True
ENSG00000038427.16|VCAN	VCAN	713.124646	0.003096	33	710.028601	127	non_cancer	95	True
ENSG00000109787.13|KLF3	KLF3	711.719126	0.000036	82	711.682992	125	non_cancer	96	True
ENSG00000253159.3|PCDHGA12	PCDHGA12	709.302659	0.000022	84	709.280300	128	non_cancer	97	True
ENSG00000100764.14|PSMC1	PSMC1	707.557608	0.000209	71	707.348209	129	non_cancer	98	True
ENSG00000174306.21|ZHX3	ZHX3	701.776035	0.001396	46	700.379610	130	non_cancer	99	True
ENSG00000168038.11|ULK4	ULK4	698.373914	0.002073	38	696.300866	131	non_cancer	100	True
